user_id,event_timestamp,event_type,platform,country,traffic_source,session_id
1,2024-06-21 06:57:00.000000,landing_page_view,web,Netherlands,social_media,sess_1_1718953020
1,2024-06-21 06:58:16.854892,signup_page_view,web,Netherlands,social_media,sess_1_1718953096
1,2024-06-21 07:00:37.600663,email_verification,web,Netherlands,social_media,sess_1_1718953237
1,2024-06-21 07:53:53.802391,profile_setup,web,Netherlands,social_media,sess_1_1718956433
2,2024-06-15 14:50:00.000000,landing_page_view,web,Canada,organic_search,sess_2_1718463000
2,2024-06-15 15:52:15.394873,signup_page_view,web,Canada,organic_search,sess_2_1718466735
2,2024-06-15 16:06:37.194592,email_verification,web,Canada,organic_search,sess_2_1718467597
2,2024-06-15 16:07:13.212946,profile_setup,web,Canada,organic_search,sess_2_1718467633
3,2024-09-19 06:43:00.000000,landing_page_view,web,US,social_media,sess_3_1726728180
3,2024-09-19 06:43:44.494349,signup_page_view,web,US,social_media,sess_3_1726728224
3,2024-09-19 06:46:48.557789,email_verification,web,US,social_media,sess_3_1726728408
3,2024-09-19 06:58:30.257595,profile_setup,web,US,social_media,sess_3_1726729110
3,2024-09-19 06:59:15.890226,first_product_view,web,US,social_media,sess_3_1726729155
4,2024-07-10 20:15:00.000000,landing_page_view,ios_app,Canada,direct,sess_4_1720642500
5,2024-07-11 14:44:00.000000,landing_page_view,mobile_web,Netherlands,social_media,sess_5_1720709040
5,2024-07-11 15:49:23.731706,signup_page_view,mobile_web,Netherlands,social_media,sess_5_1720712963
5,2024-07-11 15:54:46.405511,email_verification,mobile_web,Netherlands,social_media,sess_5_1720713286
5,2024-07-11 16:13:58.666778,profile_setup,mobile_web,Netherlands,social_media,sess_5_1720714438
6,2024-07-03 15:54:00.000000,landing_page_view,android_app,Israel,paid_search,sess_6_1720022040
6,2024-07-03 16:00:27.982792,signup_page_view,android_app,Israel,paid_search,sess_6_1720022427
7,2024-10-09 00:04:00.000000,landing_page_view,mobile_web,US,referral,sess_7_1728432240
7,2024-10-09 00:26:44.500970,signup_page_view,mobile_web,US,referral,sess_7_1728433604
7,2024-10-09 00:45:45.647489,email_verification,mobile_web,US,referral,sess_7_1728434745
7,2024-10-09 00:47:59.398181,profile_setup,mobile_web,US,referral,sess_7_1728434879
7,2024-10-09 00:54:10.055219,first_product_view,mobile_web,US,referral,sess_7_1728435250
7,2024-10-16 00:32:37.283021,add_to_cart,mobile_web,US,referral,sess_7_1729037040
8,2024-10-12 11:43:00.000000,landing_page_view,ios_app,Canada,organic_search,sess_8_1728733380
8,2024-10-12 12:16:10.181634,signup_page_view,ios_app,Canada,organic_search,sess_8_1728735370
8,2024-10-12 12:23:18.648861,email_verification,ios_app,Canada,organic_search,sess_8_1728735798
8,2024-10-12 12:39:53.568597,profile_setup,ios_app,Canada,organic_search,sess_8_1728736793
9,2024-11-12 00:50:00.000000,landing_page_view,web,UK,paid_search,sess_9_1731372600
9,2024-11-12 00:55:09.891956,signup_page_view,web,UK,paid_search,sess_9_1731372909
9,2024-11-12 01:06:48.199481,email_verification,web,UK,paid_search,sess_9_1731373608
9,2024-11-12 01:08:45.583642,profile_setup,web,UK,paid_search,sess_9_1731373725
10,2024-06-02 01:27:00.000000,landing_page_view,web,Netherlands,organic_search,sess_10_1717291620
10,2024-06-02 01:32:25.963329,signup_page_view,web,Netherlands,organic_search,sess_10_1717291945
11,2024-08-07 22:10:00.000000,landing_page_view,mobile_web,UK,social_media,sess_11_1723068600
11,2024-08-07 22:14:46.554624,signup_page_view,mobile_web,UK,social_media,sess_11_1723068886
11,2024-08-07 22:29:52.007997,email_verification,mobile_web,UK,social_media,sess_11_1723069792
11,2024-08-07 22:55:32.660473,profile_setup,mobile_web,UK,social_media,sess_11_1723071332
12,2024-11-11 18:25:00.000000,landing_page_view,web,US,social_media,sess_12_1731349500
12,2024-11-11 18:29:22.141732,signup_page_view,web,US,social_media,sess_12_1731349762
12,2024-11-11 19:12:21.094770,email_verification,web,US,social_media,sess_12_1731352341
12,2024-11-11 19:53:45.404206,profile_setup,web,US,social_media,sess_12_1731354825
12,2024-11-11 20:14:30.361403,first_product_view,web,US,social_media,sess_12_1731356070
13,2024-07-30 16:01:00.000000,landing_page_view,web,Canada,email_campaign,sess_13_1722355260
14,2024-09-07 18:47:00.000000,landing_page_view,mobile_web,Israel,organic_search,sess_14_1725734820
15,2024-09-21 07:35:00.000000,landing_page_view,web,Israel,direct,sess_15_1726904100
16,2024-09-01 17:45:00.000000,landing_page_view,web,US,social_media,sess_16_1725212700
16,2024-09-01 18:02:54.583758,signup_page_view,web,US,social_media,sess_16_1725213774
17,2024-10-06 07:06:00.000000,landing_page_view,web,UK,organic_search,sess_17_1728198360
18,2024-06-22 13:29:00.000000,landing_page_view,mobile_web,UK,social_media,sess_18_1719062940
19,2024-06-30 00:27:00.000000,landing_page_view,ios_app,Canada,email_campaign,sess_19_1719707220
20,2024-07-19 16:43:00.000000,landing_page_view,web,UK,social_media,sess_20_1721407380
21,2024-06-24 16:45:00.000000,landing_page_view,android_app,US,organic_search,sess_21_1719247500
22,2024-11-08 02:17:00.000000,landing_page_view,ios_app,US,paid_search,sess_22_1731032220
22,2024-11-08 02:59:13.164124,signup_page_view,ios_app,US,paid_search,sess_22_1731034753
23,2024-10-05 09:01:00.000000,landing_page_view,web,Germany,paid_search,sess_23_1728118860
23,2024-10-05 09:29:27.461937,signup_page_view,web,Germany,paid_search,sess_23_1728120567
24,2024-10-31 23:12:00.000000,landing_page_view,web,France,email_campaign,sess_24_1730416320
24,2024-10-31 23:12:39.678516,signup_page_view,web,France,email_campaign,sess_24_1730416359
25,2024-10-21 01:01:00.000000,landing_page_view,ios_app,France,direct,sess_25_1729472460
25,2024-10-21 01:18:33.339219,signup_page_view,ios_app,France,direct,sess_25_1729473513
26,2024-11-27 09:05:00.000000,landing_page_view,web,Canada,organic_search,sess_26_1732698300
26,2024-11-27 09:17:09.185642,signup_page_view,web,Canada,organic_search,sess_26_1732699029
27,2024-09-17 19:29:00.000000,landing_page_view,web,Canada,organic_search,sess_27_1726601340
27,2024-09-17 19:45:04.083703,signup_page_view,web,Canada,organic_search,sess_27_1726602304
27,2024-09-17 20:38:07.197979,email_verification,web,Canada,organic_search,sess_27_1726605487
27,2024-09-17 21:02:12.286561,profile_setup,web,Canada,organic_search,sess_27_1726606932
27,2024-09-17 21:04:01.821213,first_product_view,web,Canada,organic_search,sess_27_1726607041
27,2024-09-17 21:05:25.719056,add_to_cart,web,Canada,organic_search,sess_27_1726607125
27,2024-09-17 21:07:16.679043,checkout_start,web,Canada,organic_search,sess_27_1726607236
27,2024-09-17 21:12:28.884433,payment_info_entered,web,Canada,organic_search,sess_27_1726607548
27,2024-09-17 21:29:32.335748,purchase_completed,web,Canada,organic_search,sess_27_1726608572
28,2024-08-15 15:50:00.000000,landing_page_view,mobile_web,UK,social_media,sess_28_1723737000
29,2024-10-22 15:20:00.000000,landing_page_view,web,US,organic_search,sess_29_1729610400
29,2024-10-22 15:23:20.175242,signup_page_view,web,US,organic_search,sess_29_1729610600
30,2024-10-16 18:57:00.000000,landing_page_view,android_app,Israel,organic_search,sess_30_1729105020
30,2024-10-16 19:09:21.658698,signup_page_view,android_app,Israel,organic_search,sess_30_1729105761
30,2024-10-16 19:11:21.522891,email_verification,android_app,Israel,organic_search,sess_30_1729105881
31,2024-11-10 00:32:00.000000,landing_page_view,mobile_web,France,social_media,sess_31_1731198720
32,2024-07-13 11:28:00.000000,landing_page_view,mobile_web,France,social_media,sess_32_1720870080
32,2024-07-13 11:29:36.602802,signup_page_view,mobile_web,France,social_media,sess_32_1720870176
32,2024-07-13 11:44:25.302361,email_verification,mobile_web,France,social_media,sess_32_1720871065
32,2024-07-13 11:50:36.043830,profile_setup,mobile_web,France,social_media,sess_32_1720871436
32,2024-07-13 11:57:40.859818,first_product_view,mobile_web,France,social_media,sess_32_1720871860
32,2024-07-13 12:00:26.034926,add_to_cart,mobile_web,France,social_media,sess_32_1720872026
32,2024-07-13 12:42:44.181005,checkout_start,mobile_web,France,social_media,sess_32_1720874564
32,2024-07-13 13:08:04.477230,payment_info_entered,mobile_web,France,social_media,sess_32_1720876084
32,2024-07-13 13:16:43.133813,purchase_completed,mobile_web,France,social_media,sess_32_1720876603
33,2024-10-30 22:31:00.000000,landing_page_view,web,US,email_campaign,sess_33_1730327460
34,2024-06-17 16:19:00.000000,landing_page_view,ios_app,Germany,organic_search,sess_34_1718641140
35,2024-10-25 11:08:00.000000,landing_page_view,ios_app,US,organic_search,sess_35_1729854480
35,2024-10-25 11:53:48.275145,signup_page_view,ios_app,US,organic_search,sess_35_1729857228
36,2024-10-01 20:35:00.000000,landing_page_view,web,US,paid_search,sess_36_1727814900
37,2024-10-20 04:34:00.000000,landing_page_view,web,Australia,referral,sess_37_1729398840
38,2024-10-23 05:06:00.000000,landing_page_view,web,US,email_campaign,sess_38_1729659960
38,2024-10-23 05:09:54.592933,signup_page_view,web,US,email_campaign,sess_38_1729660194
39,2024-09-17 00:21:00.000000,landing_page_view,web,US,referral,sess_39_1726532460
40,2024-11-06 18:43:00.000000,landing_page_view,android_app,Germany,paid_search,sess_40_1730918580
40,2024-11-06 18:51:41.829813,signup_page_view,android_app,Germany,paid_search,sess_40_1730919101
40,2024-11-06 19:00:58.793661,email_verification,android_app,Germany,paid_search,sess_40_1730919658
40,2024-11-06 19:11:24.912594,profile_setup,android_app,Germany,paid_search,sess_40_1730920284
40,2024-11-06 19:33:56.710703,first_product_view,android_app,Germany,paid_search,sess_40_1730921636
41,2024-10-31 23:32:00.000000,landing_page_view,web,UK,paid_search,sess_41_1730417520
